,cluster_score,CPI_v3,CPI_technique,proxy_label
461,62.00364130333218,61.5,66.8,1
462,56.547253698293076,53.3,56.7,-1
463,68.64323619188728,63.0,64.8,1
464,61.361140989546826,61.3,67.1,1
465,66.27515647190933,63.9,67.0,1
466,63.47408888590629,61.4,65.8,1
467,63.15961651342251,62.4,67.1,-1
468,60.273146414129045,59.1,64.8,1
469,67.46942449435431,61.3,63.0,-1
470,74.46211013143191,64.3,65.3,-1
471,78.14061943607881,64.5,64.9,-1
472,63.110490023597386,62.0,66.7,1
473,66.95011089064079,63.7,66.4,1
474,58.36430830771633,58.9,66.0,1
475,62.68384379374663,61.4,66.4,1
476,67.41247038935319,62.9,64.8,-1
477,59.6709856126455,59.2,65.8,1
478,58.2084353176924,59.0,66.3,1
479,68.66287878710557,63.8,66.0,1
480,67.421892710058,64.5,66.9,1
481,63.48185053049462,61.2,65.5,1
482,,58.1,67.8,-1
483,57.580007786399335,57.4,65.0,-1
484,67.30261177127723,63.9,66.4,1
485,67.61608885777058,63.5,65.7,1
486,61.54390747102929,60.6,66.0,-1
487,,60.7,66.1,1
488,70.1744568277555,63.9,65.6,1
489,68.68135563134645,64.2,66.2,1
490,65.33827504915521,61.2,64.6,-1
491,68.38655986020974,64.2,66.2,1
492,63.90034386338388,61.4,65.5,1
493,64.30713273178557,61.3,65.1,1
494,,65.0,67.2,-1
495,62.949428179360886,59.4,63.6,-1
496,63.703310806324296,60.6,64.6,1
497,65.31913505525824,62.8,65.9,-1
498,57.74437990843522,58.2,65.8,-1
499,59.238355184341565,57.7,63.6,-1
500,62.32678459735494,62.1,67.2,-1
501,60.7738540682925,58.6,63.1,-1
502,54.629774912767104,56.1,65.8,-1
503,66.8766250165988,62.9,65.6,1
504,60.4532707114747,59.2,65.0,-1
505,68.98054695092641,63.9,65.8,-1
506,62.06758442347977,60.0,65.0,1
507,,59.1,66.4,-1
508,61.21130237543373,61.1,66.6,-1
509,,61.6,67.1,-1
510,65.56127770505907,61.7,65.0,1
511,66.51174085713586,62.7,65.3,1
512,68.5361932276213,63.3,65.3,1
513,68.60998728860959,63.6,65.5,1
514,63.158661776076165,60.7,65.0,1
515,61.81688491126658,60.0,65.3,1
516,,55.4,54.5,-1
517,56.059601470780706,56.5,63.9,-1
518,61.80497193081151,61.5,67.0,-1
519,67.88554363096573,62.0,64.0,1
520,65.87007410085928,64.2,67.4,-1
521,69.79279332082797,64.1,65.9,-1
522,65.51552685396729,62.6,66.0,1
523,,64.8,64.4,-1
524,,57.7,63.6,-1
525,76.20169630466391,64.6,65.8,-1
526,64.82862488010792,63.0,66.9,1
527,63.63987963099971,62.5,67.1,1
528,61.07077996660533,59.6,65.2,1
529,65.94636799039579,63.4,66.7,1
530,63.92707241797078,61.0,65.0,1
531,62.75982750245779,59.6,63.9,-1
532,57.71880403481418,57.0,64.1,-1
533,65.08342566009327,63.2,66.9,1
534,69.54942388072612,63.0,64.8,1
535,67.91580009808038,63.3,65.4,1
536,,64.6,63.2,-1
537,68.01944204089732,64.0,66.1,1
538,63.888270026580464,61.4,65.5,1
539,65.4624174430857,62.9,66.4,1
540,85.63428534139884,62.3,61.6,-1
541,62.20970159430621,59.1,62.6,-1
542,64.80281608977315,61.7,65.5,1
543,70.83123636097856,63.8,65.5,1
544,69.44151467568082,64.8,67.1,1
545,62.90376497397576,62.7,67.6,1
546,63.65053532464169,61.4,65.8,1
547,63.11170891116122,60.7,65.0,-1
548,61.62794781804575,59.8,64.9,-1
549,64.63153987339305,61.6,65.3,-1
550,65.25144267545167,62.4,65.6,1
551,52.44707656804104,48.5,50.4,-1
552,61.75827617176894,61.4,66.8,1
553,64.1021354092381,62.2,66.3,1
554,56.32953749458569,58.1,66.8,1
555,55.75999763400181,57.1,65.8,1
556,70.02030069255079,63.9,66.0,1
557,58.042425524831565,57.8,64.4,-1
558,63.28883658156417,61.0,65.4,1
559,,60.7,64.6,1
560,66.27977927424224,59.8,62.0,-1
561,66.97162252198734,62.0,63.8,-1
562,67.85282242034401,62.6,64.5,-1
563,66.84836840521555,62.4,64.8,-1
564,67.2005887748502,55.5,56.2,-1
565,62.207504554030216,61.9,67.2,1
566,60.49994728171808,59.2,65.0,1
567,61.1820621681997,61.4,67.3,1
568,75.71882866439368,64.0,65.0,1
569,69.41403388483177,63.2,65.0,1
570,75.20505637836212,65.1,66.2,1
571,64.42208560278398,62.5,66.3,1
572,58.34000667921717,59.0,66.3,1
573,61.928584867641675,60.9,66.2,1
574,62.266472627450185,60.6,65.6,1
575,63.667808090063694,57.5,58.9,-1
576,61.60162815342019,60.6,65.9,1
577,53.7912801376093,52.9,59.4,-1
578,54.626032312250295,57.4,67.4,1
579,57.30245262487441,57.4,65.3,-1
580,69.87703795342874,49.6,45.7,-1
581,69.83022806241488,58.8,59.6,-1
582,54.82426017971518,56.0,65.5,-1
583,65.50202954631584,63.3,66.3,-1
584,53.95159687435276,52.6,58.5,-1
585,57.98643269057195,58.2,65.8,1
586,49.505227783353924,25.0,28.2,0
587,58.41499893220006,58.3,64.8,-1
588,61.28038288930917,60.5,66.0,1
589,67.06541523789582,62.2,65.0,-1
590,52.73738137437425,53.9,63.2,-1
591,53.18029448807058,51.8,58.6,-1
592,63.63618815640915,62.8,67.3,1
593,57.44397395643244,58.4,66.4,1
594,63.678912731192774,60.8,65.0,1
595,50.635386612000566,55.4,66.7,-1
596,,25.0,33.6,0
597,23.27139258813937,25.0,32.6,0
598,60.75047909108784,58.7,64.2,1
599,62.170960052385674,61.1,66.1,-1
600,65.1143648850983,63.4,66.9,-1
601,58.983392895030605,58.1,64.6,-1
602,,50.7,63.4,-1
603,63.35893406654334,62.6,67.2,1
604,66.34119201572169,62.5,65.5,-1
605,,25.0,33.7,0
606,55.598544008137395,55.2,62.4,-1
607,,54.5,65.5,-1
608,65.83396496999194,61.0,63.9,1
